,Station_Type,Station_ID,Station_Name,Num_Rent,Num_Rent_1,Mean_Rent,Mean_Rent_1,Median_Rent,Median_Rent_1
124,TpMrt_TyMrt_Train_Thsr,R10_BL12_A1_1000_Taipei,台北車站,259,845,7628,5157,3300,2857
125,TpMrt,R11_G14,中山站,231,1122,3504,4126,2320,2247
126,TpMrt,R12,雙連站,448,1184,3148,2867,2132,2033
127,TpMrt,R13_O11,民權西路站,151,1107,2478,2647,2111,1903
128,TpMrt,R14,圓山站,79,408,4118,2317,1621,1506
129,TpMrt,R15,劍潭站,78,298,2894,4694,1750,2500
130,TpMrt,R16,士林站,221,457,5580,4806,3500,2750
131,TpMrt,R17,芝山站,46,337,2710,3216,2000,2094
132,TpMrt,R18,明德站,101,288,1405,2204,1277,1680
133,TpMrt,R19,石牌站,124,265,2109,1995,1482,1406
134,TpMrt,R20,唭哩岸站,67,174,1560,1699,1391,1389
135,TpMrt,R21,奇岩站,46,128,1473,1645,1290,1341
136,TpMrt,R22,北投站,76,156,2010,1786,1550,1386
137,TpMrt,R22A,新北投站,43,130,2200,1837,1666,1350
138,TpMrt,R23,復興崗站,17,41,991,1171,1000,1133
139,TpMrt,R24,忠義站,11,12,1055,1050,880,880
140,TpMrt,R25,關渡站,9,51,1787,1361,1276,1085
141,TpMrt,R26,竹圍站,73,77,1529,1495,1103,1040
142,TpMrt_TpLr,R27_V01,紅樹林站,4,5,1580,1418,1390,1314
143,TpMrt,R28,淡水站,92,213,3327,2834,1966,1933
144,TpLr,V02,竿蓁林站,7,26,714,979,743,892
145,TpLr,V03,淡金鄧公站,19,37,1050,997,945,945
146,TpLr,V04,淡江大學站,19,89,931,1051,875,961
147,TpLr,V05,淡金北新站,60,146,1203,1238,1058,1000
148,TpLr,V06,新市一路站,30,108,1608,1304,1350,1058
149,TpLr,V07,淡水行政中心站,15,57,1637,1294,1138,1000
150,TpLr,V08,濱海義山站,9,43,937,1197,972,1000
151,TpLr,V09,濱海沙崙站,16,23,1024,957,986,972
152,TpLr,V10,淡海新市鎮站,6,24,900,961,903,971
153,TpLr,V11,崁頂站,3,7,912,870,971,836
154,TpLr,V26,淡水魚人碼頭站,14,41,861,970,779,759
155,TpLr,V27,沙崙站,13,23,1055,957,1000,972
156,TpLr,V28,台北海洋大學站,3,47,970,962,956,904
157,TpMrt,Y01_BR01,動物園站(規劃中),0,37,0,1180,0,1100
158,TpMrt,Y02,政大站(規劃中),22,81,1730,1435,1375,1280
159,TpMrt,Y03,文山區公所站(規劃中),38,108,1352,1443,1228,1250
160,TpMrt,Y04,馬明潭站(規劃中),44,214,1390,1703,1267,1382
161,TpMrt,Y05,溝子口站(規劃中),45,159,1610,1615,1458,1458
162,TpMrt,Y06,寶斗厝站(規劃中),34,159,1600,1550,1357,1395
163,TpMrt,Y08,十四張站,5,167,1307,1511,1363,1200
164,TpMrt,Y09,秀朗橋站,89,217,1409,1357,1181,1166
165,TpMrt,Y10,景平站,229,847,1468,1666,1250,1300
166,TpMrt,Y12,中和站,131,279,1676,1563,1227,1227
167,TpMrt,Y13,橋和站,96,438,1714,1407,1211,1166
168,TpMrt,Y14,中原站,9,315,1321,1523,1217,1153
169,TpMrt,Y15,板新站,108,592,1446,1890,1295,1383
170,TpMrt,Y17,新埔民生站,206,687,2053,1851,1333,1333
171,TpMrt,Y19,幸福站,151,488,1223,1288,1125,1100
172,TpMrt_TyMrt,Y20_A3,新北產業園區站,23,132,1275,1261,1299,1121
173,TpMrt,Y21,工商展覽中心站(規劃中),18,42,1390,1296,866,1063
174,TpMrt,Y22,更寮站(規劃中),17,223,939,1369,950,1016
175,TpMrt,Y23,中路站(規劃中),121,322,1633,1589,1103,1150
176,TpMrt,Y24_O52,徐匯中學站(規劃中),133,511,1105,1474,1000,1131
177,TpMrt,Y25,分子尾站(規劃中),44,210,1257,1235,1070,1059
178,TpMrt,Y26,五華國小站(規劃中),64,168,1229,1299,986,1106
179,TpMrt,Y27,社子站(規劃中),14,230,1479,1787,1525,1185
180,TpMrt,Y28,士林區公所站(規劃中),129,477,3916,4653,2400,2600
181,TpMrt,Y29_R16,士林站(規劃中),221,457,5580,4806,3500,2750
182,TpMrt,Y30,雨農站(規劃中),12,231,1570,5126,1315,2753
183,TpMrt,Y31,故宮博物院站(規劃中),2,4,756,794,756,794
184,TpMrt,Y32_BR15,劍南路站(規劃中),37,116,1966,2343,1936,2111
185,TyMrt,A4,新莊副都心站,32,130,1543,1313,1513,1133
186,TyMrt,A5,泰山站,7,262,1135,1534,1029,1143
187,TyMrt,A6,泰山貴和站,37,343,1099,1364,1062,1076
188,TyMrt,A7,體育大學站,17,18,1174,1142,1036,1018
189,TyMrt,A8,長庚醫院站,33,150,1269,1371,1036,1141
190,TyMrt,A9,林口站,20,162,1556,1466,1552,1244
191,TyMrt,A10,山鼻站,8,8,671,671,450,450
192,TyMrt,A11,坑口站,0,2,0,1000,0,1000
193,TyMrt,A12,機場第一航廈站,0,0,0,0,0,0
194,TyMrt,A13,機場第二航廈站,0,0,0,0,0,0
195,TyMrt,A14,機場第三航廈站,0,0,0,0,0,0
196,TyMrt,A14a,機場旅館站,0,0,0,0,0,0
197,TyMrt,A15,大園站,5,10,830,807,880,740
198,TyMrt,A16,橫山站,0,0,0,0,0,0
199,TyMrt,A17,領航站,15,28,1150,1027,1151,866
200,TyMrt_Thsr,A18_Taoyuan,高鐵桃園站,8,32,1171,1073,1397,1017
201,TyMrt,A19,桃園體育園區站,19,36,1172,1050,1132,958
202,TyMrt,A20,興南站,1,3,372,850,372,1090
203,TyMrt,A21,環北站,66,166,1769,1629,1000,1009
204,TyMrt,A22,老街溪站(規劃中),91,358,1430,1901,1100,1100
205,TyMrt_Train,A23_1100,中壢車站(規劃中),145,364,2364,1628,1226,991
206,TyMrt,G01,八德站(規劃中),12,45,1062,864,824,759
207,TyMrt,G02,建國路站(規劃中),14,70,917,758,900,706
208,TyMrt,G03,麻園站(規劃中),33,47,643,664,564,600
209,TyMrt,G05,忠勇西街站(規劃中),43,135,1226,1000,940,800
210,TyMrt,G06,陽明公園站(規劃中),64,145,840,887,709,750
211,TyMrt,G07_BRH1_1080,桃園車站(規劃中),123,362,1282,1179,1000,923
212,TyMrt,G08,永和市場站(規劃中),143,480,1340,1254,1000,921
213,TyMrt,G09,民光路站(規劃中),94,469,1242,1474,810,950
214,TyMrt,G10_O14,大興西路站(規劃中),182,474,2221,1476,1541,1026
215,TyMrt,G11,展演中心站(規劃中),139,293,1257,1236,1063,1029
216,TyMrt,G12,南崁轉運站站(規劃中),0,62,0,1066,0,985
217,TyMrt,G13,南竹站(規劃中),28,118,1029,1043,902,990
218,TyMrt,G13a,蘆竹工業區站(規劃中),10,12,493,504,457,501
219,TyMrt,G14,長興站(規劃中),0,4,0,907,0,922
220,TyMrt,G15,航空城一站(規劃中),0,0,0,0,0,0
221,TyMrt,G16,航空城二站(規劃中),0,0,0,0,0,0
222,TyMrt,G17,航空城三站(規劃中),0,1,0,600,0,600
223,TyMrt,G18_A16,橫山站(規劃中),0,0,0,0,0,0
224,TyMrt,G31,菓林站(規劃中),16,17,1152,1131,919,888
225,TyMrt,G32_A11,坑口站(規劃中),0,2,0,1000,0,1000
226,TyMrt,GE01,霄裡站(規劃中),11,11,590,590,367,367
227,TyMrt,GE02,士校站(規劃中),34,71,864,818,621,625
228,TyMrt,GE03,富台國小站(規劃中),43,101,620,724,471,588
229,TyMrt,GE04,榮民服務處站(規劃中),7,138,1264,965,750,809
230,TyMrt,GE05,中壢體育園區站(規劃中),52,343,823,1451,734,1000
231,TyMrt,GA1,埔頂新光站(規劃中),1,4,971,674,971,673
232,TyMrt,GA2,仁善國小站(規劃中),4,38,554,590,454,473
233,TyMrt,GA3,埔頂轉運站站(規劃中),17,39,649,601,512,512
234,TyMrt,BRH2,桃園巨蛋站(規劃中),19,177,825,841,689,698
235,TyMrt,BRH3,大同路口站(規劃中),35,171,1045,901,727,733
236,TyMrt,BRH4,振興路口站(規劃中),1,67,728,795,728,728
237,TyMrt,BRH5,嶺頂站(規劃中),3,3,549,549,600,600
238,TyMrt,BRH6,大棟橋站(規劃中),12,13,1172,1144,1273,1200
239,TyMrt,BRH7,龍華街口站(規劃中),33,44,1044,941,857,789
240,TyMrt,O01,山子頂站(規劃中),8,25,941,809,906,833
