車站種類,車站狀態,車站編號,車站名稱,所在縣市,行政區,轉乘狀態,轉乘捷運,轉乘台鐵,轉乘高鐵,車站位置,lat,lng
train,0,R2,台鐵桃園站,桃園市,桃園區,N,0,0,0,無資料,24.9890143,121.31358859999999
train,0,R3,台鐵國際路站,桃園市,桃園區,M,1,0,0,無資料,24.983889399999995,121.2894594
train,0,R4,台鐵永豐路站,桃園市,八德區,N,0,0,0,無資料,24.9770915,121.27025490000001
train,0,R5,台鐵內壢站,桃園市,中壢區,N,0,0,0,無資料,24.9727539,121.2582278
train,0,R6,台鐵中原大學站,桃園市,中壢區,N,0,0,0,無資料,24.9600708,121.2398493
train,0,R7,台鐵中壢站,桃園市,中壢區,N,0,0,0,無資料,24.9536315,121.2257946
train,0,R8,台鐵平鎮站(未確定站址),桃園市,平鎮區,N,0,0,0,介於環南路二段與新光路間,24.93933160000001,121.2105837
train,0,R9,台鐵埔心站,桃園市,楊梅區,N,0,0,0,無資料,24.9195229,121.18353370000001
train,0,R10,台鐵楊梅站,桃園市,楊梅區,N,0,0,0,無資料,24.9141907,121.14641189999999
train,0,R11,台鐵富岡站,桃園市,楊梅區,MT,1,1,0,無資料,24.934155899999997,121.0831118
