Station_Type,Activated,Station_ID,Station_Name,County,District,T_Status,Num_Mrt,Num_Train,Num_Thsr,Station_Address,lat,lng
TyMrt,0,GA1,埔頂新光站(規劃中),桃園市,大溪區,N,1,0,0,無資料,24.916699899999998,121.28140559999999
TyMrt,0,GA2,仁善國小站(規劃中),桃園市,大溪區,N,1,0,0,無資料,24.9090908,121.27929099999999
TyMrt,0,GA3,埔頂轉運站站(規劃中),桃園市,大溪區,N,1,0,0,無資料,24.897025600000003,121.2789506
TyMrt,0,BRH2,桃園巨蛋站(規劃中),桃園市,桃園區,N,1,0,0,龜山區萬壽路二段縣立體育場附近,24.991970499999997,121.3226223
TyMrt,0,BRH3,大同路口站(規劃中),桃園市,龜山區,N,1,0,0,龜山區萬壽路二段與大同路路口附近,24.994878,121.3367146
TyMrt,0,BRH4,振興路口站(規劃中),桃園市,龜山區,N,1,0,0,龜山區萬壽路二段與振興路路口附近,25.001884,121.35001840000001
TyMrt,0,BRH5,嶺頂站(規劃中),桃園市,龜山區,N,1,0,0,龜山區東萬壽路與寶石街路口附近,25.0008047,121.36570929999999
TyMrt,0,BRH6,大棟橋站(規劃中),桃園市,龜山區,N,1,0,0,龜山區東萬壽路與大棟橋路口附近,25.0101535,121.38939850000001
TyMrt,0,BRH7,龍華街口站(規劃中),桃園市,龜山區,N,1,0,0,龜山區萬壽路一段與龍華街路口附近,25.0173871,121.4029598
TyMrt,0,O01,山子頂站(規劃中),桃園市,平鎮區,N,1,0,0,平鎮區中豐路山頂段、湧光路路口附近,24.895176,121.2112999
TyMrt,0,O02,南勢站(規劃中),桃園市,平鎮區,N,1,0,0,平鎮區中豐路南勢二段、中庸路路口附近,24.913606899999998,121.21069909999999
TyMrt,0,O03,平鎮站(規劃中),桃園市,平鎮區,N,1,0,0,可與台鐵未來之平鎮站交會轉乘,24.941291800000002,121.21277509999999
TyMrt,0,O04,褒忠祠站(規劃中),桃園市,平鎮區,N,1,0,0,中壢區環南路、復旦路路口附近,24.9508884,121.20666499999999
TyMrt,0,O05,中壢高中站(規劃中),桃園市,中壢區,N,1,0,0,中壢區環西路、志廣路路口附近,24.959830399999998,121.2070869
TyMrt,0,O06_A21,環北站(規劃中),桃園市,中壢區,M,2,0,0,可與機場捷運A21環北站交會轉乘,24.967197,121.22113
TyMrt,0,O07,新街站(規劃中),桃園市,中壢區,N,1,0,0,中壢區中華路、延平路口附近,24.963650199999996,121.23387340000002
TyMrt,0,O08,忠福站(規劃中),桃園市,中壢區,N,1,0,0,中壢區中園路、南園路口北側,24.973609699999997,121.2360191
TyMrt,0,O09,文化站(規劃中),桃園市,中壢區,N,1,0,0,中壢區松江南路、安東路路口附近,24.980845499999997,121.2455463
TyMrt,0,O10,龍山站(規劃中),桃園市,蘆竹區,N,1,0,0,桃園區文中路一段,24.9908425,121.26507279999998
TyMrt,0,O11,龍安站(規劃中),桃園市,桃園區,N,1,0,0,桃園區「擬定北二高內環線南桃園交流道附近地區定區計畫」,24.9929429,121.274128
TyMrt,0,O12,中福站(規劃中),桃園市,桃園區,N,1,0,0,桃園區「擬定北二高內環線南桃園交流道附近地區定區計畫」,24.9960157,121.28794669999999
TyMrt,0,O13,埔子站(規劃中),桃園市,桃園區,N,1,0,0,桃園區大興西路、永安路口西側60公尺計畫園道,25.007139399999996,121.29232409999999
TyMrt,0,O15,大檜溪站(規劃中),桃園市,桃園區,N,1,0,0,可與桃林鐵路未來設置之車站交會轉乘,25.0160065,121.31335259999999
Train,1,1010,萬華站,台北市,萬華區,N,0,1,0,台北市萬華區富福里康定路382號,25.0332823,121.4998481
Train,1,950,五堵站,新北市,汐止區,N,0,1,0,新北市汐止區長安里長安路17號,25.077969600000003,121.667524
Train,1,960,汐止站,新北市,汐止區,N,0,1,0,新北市汐止區信望里信義路1號,25.0679525,121.66121979999998
Train,1,970,汐科站,新北市,汐止區,N,0,1,0,新北市汐止區大同里大同路二段182號,25.0626721,121.64664979999999
Train,1,1030,浮洲站,新北市,板橋區,N,0,1,0,新北市板橋區僑中二街156號,25.004192,121.44473700000002
Train,1,1040,樹林站,新北市,樹林區,N,0,1,0,新北市樹林區鎮前街112號,24.991397199999998,121.42442959999998
Train,1,1050,南樹林站,新北市,樹林區,N,0,1,0,新北市樹林區東山里中山路二段230號,24.980202600000002,121.4087031
Train,1,1060,山佳站,新北市,樹林區,N,0,1,0,新北市樹林區中山里山佳街28號,24.9727283,121.3925439
Train,1,1070,鶯歌站,新北市,鶯歌區,N,0,1,0,新北市鶯歌區東鶯里文化路68號,24.954492000000002,121.355208
Train,1,7290,福隆站,新北市,貢寮區,N,0,1,0,新北市貢寮區福隆里福隆街2號,25.0159203,121.94466820000001
Train,1,7300,貢寮站,新北市,貢寮區,N,0,1,0,新北市貢寮區貢寮里朝陽街33號,25.0159203,121.94466820000001
Train,1,7310,雙溪站,新北市,雙溪區,N,0,1,0,新北市雙溪區新基里朝陽街1號,25.038560999999998,121.866504
Train,1,7320,牡丹站,新北市,雙溪區,N,0,1,0,新北市雙溪區牡丹里51號,25.0586431,121.8519913
Train,1,7330,三貂嶺站,新北市,瑞芳區,N,0,1,0,新北市瑞芳區碩仁里魚寮路1號,25.0655744,121.8226327
Train,1,7331,大華站,新北市,平溪區,N,0,1,0,新北市平溪區南山里六分12之1號,25.049913,121.79754299999999
Train,1,7332,十分站,新北市,平溪區,N,0,1,0,新北市平溪區十分里十分街51號,25.040983800000003,121.7749723
Train,1,7333,望古站,新北市,平溪區,N,0,1,0,新北市平溪區望古里,25.034614899999998,121.7638065
Train,1,7334,嶺腳站,新北市,平溪區,N,0,1,0,新北市平溪區嶺腳里嶺腳寮22號,25.0302012,121.74793829999999
Train,1,7335,平溪站,新北市,平溪區,N,0,1,0,新北市平溪區平溪里中華街12號,25.0255853,121.7400005
Train,1,7336,青桐站,新北市,平溪區,N,0,1,0,新北市平溪區菁桐里菁桐街52號,25.023915,121.7239159
Train,1,7350,猴硐站,新北市,瑞芳區,N,0,1,0,新北市瑞芳區光復里柴寮路70號,25.087009,121.827423
Train,1,7360,瑞芳站,新北市,瑞芳區,N,0,1,0,新北市瑞芳區龍潭里明燈路三段82號,25.108735600000003,121.8059692
Train,1,7362,八斗子站,基隆市,中正區,N,0,1,0,基隆市中正區砂子里省道台2線(與新北市瑞芳區交界處、無站房),25.135287100000003,121.8028626
Train,1,7380,四腳亭站,新北市,瑞芳區,N,0,1,0,新北市瑞芳區吉慶里中央路65號,25.102804000000003,121.761917
Train,1,900,基隆站,基隆市,仁愛區,N,0,1,0,基隆市仁愛區港西街5號,25.131707199999997,121.73829599999999
Train,1,910,三坑站,基隆市,仁愛區,N,0,1,0,基隆市仁愛區德厚里龍安街 206 號,25.1232383,121.7420108
Train,1,920,八堵站,基隆市,暖暖區,N,0,1,0,基隆市暖暖區八南里八堵路142 號地圖 ,25.1083766,121.72903659999999
Train,1,930,七堵站,基隆市,七堵區,N,0,1,0,基隆市七堵區東新街2號,25.093099300000002,121.7140236
Train,1,940,百福站,基隆市,七堵區,N,0,1,0,基隆市七堵區堵南里明德三路 1 之 1 號,25.0779332,121.6938105
Train,1,7361,海科館站,基隆市,中正區,N,0,1,0,基隆市中正區長潭里,25.1375568,121.8000871
Train,1,7390,暖暖站,基隆市,暖暖區,N,0,1,0,基隆市暖暖區暖暖里暖暖街 51 號,25.10229,121.74032
Train,1,1080,桃園站,桃園市,桃園區,N,0,1,0,桃園市桃園區武陵里中正路1號,24.9886541,121.3142952
Train,1,1090,內壢站,桃園市,中壢區,N,0,1,0,桃園市中壢區中原里中華路一段267號,24.9744162955845,121.257387379737
Train,1,1100,中壢站,桃園市,中壢區,N,0,1,0,桃園市中壢區石頭里中和路139號,24.9537299,121.22559440000002
Train,1,1110,埔心站,桃園市,楊梅區,N,0,1,0,桃園市楊梅區埔心里永美路208號,24.919588,121.183502
Train,1,1120,楊梅站,桃園市,楊梅區,N,0,1,0,桃園市楊梅區楊梅里大成路256號,24.914324800000003,121.1464462
Train,1,1130,富岡站,桃園市,楊梅區,N,0,1,0,桃園市楊梅區富岡里成功路37號,24.934427,121.08306699999999
Train,1,1140,新富站,桃園市,楊梅區,N,0,1,0,桃園市楊梅區富豐里富全街1號,24.931064300000003,121.06759369999999
