,Station_Type,Activated,Station_ID,Station_Name,County,District,T_Status,N_Mrt,N_Train,N_Thsr,Station_Address,lat,lng,Vol_All,Vol_Workday,Vol_Weekend,Weekend_Percent
51,TpMrt,1,G11,小南門站,台北市,中正區,N,1,0,0,台北市中正區愛國西路22號,25.035585,121.51088,19011.3186379928,22316.3701926093,10785.8166666667,0.159450947278885
52,TpMrt,1,G12_BL11,西門站,台北市,中正區,M,2,0,0,台北市中正區寶慶路32之1號,25.042025,121.508175,151667.054480287,145938.210082188,166198.791666667,0.309541071090016
53,TpMrt,1,G13,北門站,台北市,大同區,N,1,0,0,台北市大同區塔城街10號,25.049554,121.510184,25872.6917562724,26622.3951314386,24051.65,0.261636938535628
54,TpMrt,1,G15_O08,松江南京站,台北市,中山區,M,2,0,0,台北市中山區松江路126號,25.052693,121.53285,70836.6956989247,82757.5788004266,40738.0416666667,0.162152084683085
55,TpMrt,1,G17,台北小巨蛋站,台北市,松山區,N,1,0,0,台北市松山區南京東路4段10之1號,25.05152,121.552549,46976.1903225807,50916.3276240668,36938.1666666667,0.222481213540641
56,TpMrt,1,G18,南京三民站,台北市,松山區,N,1,0,0,台北市松山區南京東路5段237號,25.051588,121.56471,46258.9580645161,51342.3469163687,33452.9666666667,0.203948713528703
58,TpMrt,1,O01,南勢角站,新北市,中和區,N,1,0,0,新北市中和區捷運路6號,24.990065,121.509237,43049.2207885305,45433.0854821507,37106.2,0.243099911478727
59,TpMrt,1,O02_Y11,景安站,新北市,中和區,M,2,0,0,新北市中和區景平路486號,24.99392,121.505114,49729.6243727599,53292.9453541627,40791.25,0.231383929040224
60,TpMrt,1,O03,永安市場站,新北市,中和區,N,1,0,0,新北市中和區中和路388號,25.002895,121.511225,53092.688172043,56240.2811343246,45208.85,0.240248559949644
61,TpMrt,1,O04,頂溪站,新北市,永和區,N,1,0,0,新北市永和區永和路2段168號,25.013858,121.515462,73071.4781362007,76692.9021268587,63995.3333333333,0.247167016585754
62,TpMrt,1,O07_BL14,忠孝新生站,台北市,大安區,M,2,0,0,台北市大安區新生南路1段67號,25.042498,121.53321,68118.0724014337,69091.7478511826,65680.2333333333,0.272151452870751
63,TpMrt,1,O09,行天宮站,台北市,中山區,N,1,0,0,台北市中山區松江路316號,25.05924,121.53315,55989.8483870968,61295.9250580338,42679.6833333333,0.214768787597646
64,TpMrt,1,O10,中山國小站,台北市,中山區,N,1,0,0,台北市中山區民權東路1段71號,25.062665,121.526609,34417.6107526882,37264.5974967062,27270.9666666667,0.22352691087911
65,TpMrt,1,O12,大橋頭站,台北市,大同區,N,1,0,0,台北市大同區民權西路223號,25.06322,121.513003,26358.0089605735,27207.4906204906,24315.65,0.259582016486995
66,TpMrt,1,O13,台北橋站,新北市,三重區,N,1,0,0,新北市三重區重新路1段108號,25.063075,121.500575,19620.9369175627,20067.8224480833,18495.475,0.266230131958897
67,TpMrt,1,O14,菜寮站,新北市,三重區,N,1,0,0,新北市三重區重新路3段150號,25.059451,121.491421,19413.3483870968,20909.849614154,15667.075,0.227676702446287
68,TpMrt_TyMrt,1,O15_A2,三重站,新北市,三重區,M,2,0,0,新北市三重區捷運路36號,25.05571,121.48422,13593.901075,13779.57397,13114.358333,0.448956740824748
69,TpMrt,1,O16,先嗇宮站,新北市,三重區,N,1,0,0,新北市三重區重新路5段515號,25.04632,121.47165,315114.791398,302843.783267,345768.25,0.39875232754223
70,TpMrt,1,O17_Y18,頭前庄站,新北市,新莊區,M,2,0,0,新北市新莊區思源路18號,25.039862,121.460479,7855.622939,8251.335216,6929.5,0.338533389587824
71,TpMrt,1,O18,新莊站,新北市,新莊區,N,1,0,0,新北市新莊區中正路138號,25.03608,121.45218,21618.0892473118,23018.6035824079,18140.5666666667,0.23641259793869
72,TpMrt,1,O19,輔大站,新北市,新莊區,N,1,0,0,新北市新莊區中正路510之1號,25.03279,121.435735,22210.2605734767,24599.4509693205,16368.3333333333,0.208121047878297
73,TpMrt,1,O20,丹鳳站,新北市,新莊區,N,1,0,0,新北市新莊區中正路624之1號,25.029073,121.422422,18395.6426523297,19455.9656189221,15749.1,0.241444135748605
74,TpMrt,1,O21,迴龍站,新北市,新莊區,N,1,0,0,新北市新莊區中正路758號,25.022107,121.411757,19588.1666666667,21072.6835435096,15892.9583333333,0.22879975558163
75,TpMrt,1,O50,三重國小站,新北市,三重區,N,1,0,0,新北市三重區三和路3段5號,25.070275,121.49701,23730.311827957,24894.6110170023,20816.55,0.247539621776157
76,TpMrt,1,O51,三和國中站,新北市,三重區,N,1,0,0,新北市三重區三和路4段107號,25.07646,121.486795,24221.1096774194,25953.94867934,19871.1833333333,0.231477437754096
77,TpMrt,1,O52,徐匯中學站,新北市,蘆洲區,N,1,0,0,新北市蘆洲區中山一路3號,25.080485,121.479945,24422.0415770609,25719.498368781,21184.2333333333,0.244602852605894
78,TpMrt,1,O53,三民高中站,新北市,蘆洲區,N,1,0,0,新北市蘆洲區三民路105號,25.085425,121.473365,24229.7164874552,25826.2439299831,20257.3,0.235604011906229
79,TpMrt,1,O54,蘆洲站,新北市,蘆洲區,N,1,0,0,新北市蘆洲區三民路386號,25.09152,121.46471,26780.8874551971,28580.3042850869,22279.0916666667,0.234628832324924
80,TpMrt,1,R02,象山站,台北市,信義區,N,1,0,0,台北市信義區信義路5段152號,25.032395,121.570116,25796.0802867384,27991.5499717674,20312.3583333333,0.221904181791988
81,TpMrt,1,R03,台北101/世貿站,台北市,信義區,N,1,0,0,台北市信義區信義路5段20號,25.032865,121.563667,70584.5462365592,69201.8312002008,74563.525,0.295950055583971
82,TpMrt,1,R04,信義安和站,台北市,大安區,N,1,0,0,台北市大安區信義路4段212之1號,25.033015,121.552326,35938.305734767,39259.8853754941,27563.575,0.216369537406477
83,TpMrt,1,R05_BR09,大安站,台北市,大安區,M,2,0,0,台北市大安區信義路3段180號,25.033311,121.54237,49259.0430107527,55133.2192421106,34547.5,0.197645843881022
84,TpMrt,1,R06,大安森林公園站,台北市,大安區,N,1,0,0,台北市大安區信義路3段100號,25.033225,121.536151,18561.9189964158,17188.5432900433,22095.4166666667,0.335557661096112
85,TpMrt,1,R07_O06,東門站,台北市,大安區,M,2,0,0,台北市大安區信義路2段166號,25.033894,121.528766,52135.770609319,53458.6749168706,48848.6,0.264508738437221
86,TpMrt,1,R08_G10,中正紀念堂站,台北市,中正區,M,2,0,0,台北市中正區羅斯福路1段8之1號,25.032767,121.518273,61146.7315412186,62630.3550724638,57708.95,0.265060191109814
