,Station_Type,Activated,Station_ID,Station_Name,County,District,T_Status,N_Mrt,N_Train,N_Thsr,Station_Address,lat,lng,Vol_All,Vol_Workday,Vol_Weekend,Weekend_Percent
5,TyMrt,1,A6,泰山貴和站,新北市,泰山區,N,1,0,0,新北市泰山區中山路與貴陽街交口,25.033503,121.4223097,163.815053763441,171.888041909781,144.208333333333,0.247836516771259
6,TyMrt,1,A7,體育大學站,桃園市,龜山區,N,1,0,0,桃園市龜山區文化一路與青山路交口北側,25.041246,121.385434,727.860215053763,736.259457933371,704.8,0.273944750587628
7,TyMrt,1,A8,長庚醫院站,桃園市,龜山區,N,1,0,0,桃園市龜山區文化一路與復興一路交口,25.0600805,121.3709244,1578.67598566308,1702.20487483531,1264.95833333333,0.226456058012701
8,TyMrt,1,A9,林口站,新北市,林口區,N,1,0,0,新北市林口區文化三路與八德路交口,25.0658742,121.3614006,295.80752688172,271.241985068072,358.333333333333,0.341041740028084
9,TyMrt,1,A10,山鼻站,桃園市,蘆竹區,N,1,0,0,桃園市蘆竹區南山路山鼻橋南側,25.0807591,121.2848289,646.177419354839,657.664721751678,616.825,0.269779585492208
10,TyMrt,1,A11,坑口站,桃園市,蘆竹區,N,1,0,0,桃園市蘆竹區坑口村附近,25.086516,121.2664488,375.510394265233,390.972143798231,335.866666666667,0.252691309966208
11,TyMrt,1,A12,機場第一航廈站,桃園市,大園區,N,1,0,0,台灣桃園國際機場第一航廈航站南路下方,25.081746,121.2391751,580.973835125448,612.614687245122,500.266666666667,0.243475111579046
12,TyMrt,1,A13,機場第二航廈站,桃園市,大園區,N,1,0,0,台灣桃園國際機場第二航廈下方,25.07707,121.231885,770.495340501792,813.281698977351,662.5,0.242776466637561
13,TyMrt,1,A14a,機場旅館站,桃園市,大園區,N,1,0,0,台灣桃園國際機場過境旅館附近,25.0692598,121.220939,120.077777777778,135.906644080557,79.5916666666667,0.187754152087864
14,TyMrt,1,A15,大園站,桃園市,大園區,N,1,0,0,國道2號高速公路大園交流道附近,25.0559699,121.2104954,562.36917562724,585.758265888701,503.783333333333,0.252681385803564
15,TyMrt,1,A16,橫山站,桃園市,大園區,N,1,0,0,桃園市大園區橫山社區自強橋附近,25.0366078,121.2157284,136.790681003584,145.164470794906,115.7,0.238563732383665
16,TyMrt,1,A17,領航站,桃園市,大園區,N,1,0,0,高鐵桃園車站特定區東北側,25.0241743,121.2211115,351.088888888889,406.118702553485,211.808333333333,0.170329978287498
17,TyMrt_Thsr,1,A18_Taoyuan,高鐵桃園站,桃園市,中壢區,MH,1,0,1,高鐵桃園車站北側,25.013762,121.214162,861.894623655914,817.627642888512,973.933333333333,0.317505548791121
18,TyMrt,1,A19,桃園體育園區站,桃園市,中壢區,N,1,0,0,高鐵桃園車站特定區西南側,25.001996,121.203495,211.15770609319,207.096053704749,220.65,0.293979414302706
19,TyMrt,1,A20,興南站,桃園市,中壢區,N,1,0,0,桃園市中壢區中豐北路下興南附近,24.980184,121.216266,37.1136200716846,38.0073091160048,35.0416666666667,0.265601580772265
20,TyMrt,1,A21,環北站,桃園市,中壢區,N,1,0,0,桃園市中壢區中豐路與環北路交口,24.967197,121.22113,929.005734767025,934.937323546019,913.475,0.27723263511294
3,Train,1,1010,萬華站,台北市,萬華區,N,0,1,0,台北市萬華區富福里康定路382號,25.0332823,121.4998481,8923.29943443653,9256.34130434783,8043.65277777778,0.245123703117525
4,Train,1,950,五堵站,新北市,汐止區,N,0,1,0,新北市汐止區長安里長安路17號,25.0779696,121.667524,3511.87948610529,3785.16503623188,2776.72222222222,0.215584385532524
5,Train,1,960,汐止站,新北市,汐止區,N,0,1,0,新北市汐止區信望里信義路1號,25.0679525,121.6612198,19952.0646557743,20827.1298913043,17608.7777777778,0.240191956539896
