,Name,Address,lng,lat,Type
38,Charming Chat Café(CCCafé),112台灣台北市北投區石牌路一段39巷136號,121.50993,25.1175282,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
39,太古宙咖啡 ArchEon Café,10584台灣台北市松山區南京東路五段291巷6弄18號,121.5654546,25.0519317,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
40,喵日子café,330台灣桃園市桃園區保定三街93號,121.2978507,24.9983361,"['cafe', 'food', 'point_of_interest', 'establishment']"
41,燊咖啡,330台灣桃園市桃園區新埔六街138號,121.3016895,25.0164747,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
42,Felice Cafe 享樂咖啡,114台灣台北市內湖區瑞光路251號,121.5778573,25.0747811,"['cafe', 'food', 'point_of_interest', 'establishment']"
43,À Demain Cafe,115台灣台北市南港區重陽路55號,121.5962519,25.0555868,"['cafe', 'food', 'point_of_interest', 'establishment']"
44,小圓桌Café,11274台灣台北市北投區西安街二段275巷16號,121.5065843,25.1198955,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
45,About Cafe,224台灣新北市瑞芳區建基路二段83號之1號,121.8057722,25.1338917,"['cafe', 'food', 'point_of_interest', 'establishment']"
46,德佈Debut Cafe 台北店,104台灣台北市中山區新生北路一段15號,121.5319279,25.0467039,"['cafe', 'food', 'point_of_interest', 'establishment']"
47,薄荷夜 Peppermint Night Cafe,100台灣台北市中正區師大路138號,121.526927,25.021013,"['cafe', 'food', 'point_of_interest', 'establishment']"
48,city cafe,241台灣新北市三重區永安北路二段,121.4806829,25.0803843,"['cafe', 'food', 'point_of_interest', 'establishment']"
49,食の集ec6 cafe,106台灣台北市大安區光復南路290巷68號,121.555233,25.039452,"['cafe', 'food', 'point_of_interest', 'establishment']"
50,inn cafe 師大店,106台灣台北市大安區龍泉街7號,121.52932,25.0258864,"['restaurant', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']"
51,奧蘿茉 OROMO CAFE 世貿店,110台灣台北市信義區吳興街15號,121.5596167,25.0316667,"['cafe', 'food', 'point_of_interest', 'establishment']"
52,與路 Yu Lu Café,226台灣新北市平溪區六分13號,121.7979137,25.0498257,"['cafe', 'food', 'point_of_interest', 'establishment']"
53,Cafe' 8,112台灣台北市北投區知行路258號,121.467322,25.1208974,"['cafe', 'food', 'point_of_interest', 'establishment']"
54,愛幸福咖啡館,330台灣桃園市桃園區文中路119號,121.2916923,24.9956505,"['cafe', 'food', 'point_of_interest', 'establishment']"
55,城市草倉 C-tea loft,106台灣台北市大安區羅斯福路三段283巷19弄4號,121.5314781,25.01944,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
56,明星咖啡館,100台灣台北市中正區武昌街一段5號2樓,121.512783,25.044216,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
57,Café MUJI 新光三越A11門市,"110台灣台北市信義區松壽路11號3樓110台北市信義區松壽路11號, 新光三越A11館",121.5672349,25.0362474,"['cafe', 'food', 'point_of_interest', 'establishment']"
58,Louisa Coffee (Yong'an Market),235台灣新北市中和區中和路400巷19號,121.5115716,25.0024064,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
59,Du_Lavazza Cafe 咖啡,10491台灣台北市中山區北安路823號,121.5564549,25.0848593,"['cafe', 'food', 'point_of_interest', 'establishment']"
60,cama café 板橋正隆店,220台灣新北市板橋區板新路1號,121.47556,25.012333,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
61,cheese cafe芝士簡餐咖啡館,200台灣基隆市仁愛區愛六路13號,121.747268,25.1279728,"['cafe', 'food', 'point_of_interest', 'establishment']"
62,Louisa Coffee Taipei Bridge,24142台灣新北市三重區重新路二段12號,121.499621,25.0625799,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
63,cama café 台北行天宮,104台灣台北市中山區民權東路二段97號,121.532492,25.0627035,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
64,85度C 咖啡蛋糕 三重三和店,241台灣新北市三重區三和路四段272號,121.485445,25.0771589,"['cafe', 'food', 'point_of_interest', 'establishment']"
65,閃咖啡 Shiny Caf'e,111台灣台北市士林區大南路288號,121.5192313,25.0888202,"['cafe', 'food', 'point_of_interest', 'establishment']"
66,ZERO café,105台灣台北市松山區南京東路五段23巷6弄29號No. 29號,121.559058,25.052176,"['cafe', 'food', 'point_of_interest', 'establishment']"
67,Dazy Café,106台灣台北市大安區通安街5號1樓,121.5534347,25.0327184,"['cafe', 'food', 'point_of_interest', 'establishment']"
68,Ms Cafe,"No. 19, 南昌路一段31巷中正區台北市台灣 100",121.5176819,25.0323305,"['cafe', 'food', 'point_of_interest', 'establishment']"
69,虹吸式咖啡館,200台灣基隆市仁愛區孝三路73號,121.739184,25.1301429,"['cafe', 'food', 'point_of_interest', 'establishment']"
70,yudo cafe,"No. 100-11號, 羅斯福路三段中正區台北市台灣 100",121.52727,25.021304,"['cafe', 'food', 'point_of_interest', 'establishment']"
71,N° Café,112台灣台北市北投區育仁路18號,121.4983165,25.1330916,"['cafe', 'food', 'point_of_interest', 'establishment']"
72,蔚藍咖啡館,242台灣新北市新莊區中平路382號,121.4447279,25.0534432,"['cafe', 'food', 'point_of_interest', 'establishment']"
73,Café de Riz 米販咖啡,106台灣台北市大安區安和路一段78巷34號,121.5503217,25.0349701,"['cafe', 'food', 'point_of_interest', 'establishment']"
74,酒樂CAFE,110台灣台北市信義區松壽路18號,121.56681,25.0356839,"['cafe', 'food', 'point_of_interest', 'establishment']"
75,月半咖啡 Dwaco Coffee （一間小小擠擠接待同行人數上限四人的咖啡店）,106台灣台北市大安區永康街47巷30號,121.53115,25.03023,"['cafe', 'food', 'point_of_interest', 'establishment']"
76,WENSDAY CAFE,334台灣桃園市八德區豐田路218號,121.2893866,24.9320369,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
77,覓旅咖啡豆坊 Miu Cafe mill,11486台灣台北市內湖區康寧路三段54巷12號,121.6088915,25.0714612,"['cafe', 'food', 'point_of_interest', 'establishment']"
