,Station_Type,Activated,Station_ID,Station_Name,T_Status,Num_Transfer,Num_Atm,Num_Cstore,Num_Med,Num_Ele,Num_Sec,Num_High,All_School,Num_POI,Num_Park,Num_Village,Income_Gross,Income_Average,Population,Child,Adult,Old_Age,Young_Adult,Middle_Age,Child_Dep,Old_Dep,Higher_Edu,Sec_Edu,Ele_Edu,Uneducated,Male,Married,Immigrant,Birth,Vol_All,Vol_Workday,Weekend,Median_Rent,Num_Cafe,Num_Drink,Num_Bar,Num_Gym,Num_Lodging,Cat_Vol,Cat_Rent,Cat_Cafe,Cat_Drink,Cat_Bar,Cat_Gym,Cat_Lodging,Cat_Cafe_Pre,Potential
15,TpMrt,1,BL20,後山埤站,N,1.0,40,20,60,28,4,0,32,1,13,81,17052.25,1267.64,39787.0,12.66,68.49,18.84,26.06,38.09,18.49,27.51,44.92,36.34,5.61,0.33,47.56,46.48,4.57,0.82,33.295,34.95,24.71,1575.0,11.0,4.0,2.0,12.0,1.0,7.0,3,3,1,0,3,0,4,1.0
16,TpMrt,1,BL21,昆陽站,N,1.0,17,10,7,13,3,0,16,1,10,65,13499.43,1224.99,33388.0,13.33,70.19,16.48,27.32,38.35,18.99,23.48,42.09,37.75,6.31,0.39,48.0,46.11,4.52,0.85,26.818,30.042,19.66,1461.0,5.0,2.0,1.0,3.0,0.0,7.0,2,2,0,0,0,0,3,1.0
17,TpMrt_Train_Thsr,1,BL22_0980_Nangang,南港站,MTH,3.0,16,9,7,13,2,0,15,0,10,50,10162.25,1189.68,26117.0,13.63,72.03,14.35,28.22,39.08,18.93,19.92,39.29,39.76,6.78,0.44,48.42,45.74,4.78,0.88,56.761,59.639,24.08,1329.0,4.0,1.0,2.0,5.0,0.0,8.0,2,2,0,0,1,0,2,0.0
18,TpMrt,1,BR01,動物園站,N,1.0,3,0,0,5,2,0,7,2,1,31,6354.88,1202.66,16319.0,12.45,71.46,16.05,26.97,39.53,17.42,22.47,43.43,37.59,5.96,0.42,48.12,45.62,3.87,0.8,17.292,15.983,33.47,,0.0,1.0,0.0,0.0,0.0,7.0,0,0,0,0,0,0,0,0.0
19,TpMrt,1,BR02,木柵站,N,1.0,7,3,3,9,2,0,11,1,4,41,8440.16,1202.82,21577.0,12.71,70.99,16.28,26.73,39.36,17.9,22.93,43.59,37.31,5.83,0.4,47.93,45.7,4.06,0.79,8.426,9.18,21.88,1138.0,0.0,1.0,1.0,1.0,0.0,6.0,2,0,0,0,0,0,0,0.0
20,TpMrt,1,BR03,萬芳社區站,N,1.0,5,3,2,13,3,0,16,1,8,51,10751.39,1200.6,27293.0,12.74,70.55,16.69,26.61,39.19,18.06,23.66,44.07,36.97,5.68,0.38,47.8,46.03,4.24,0.78,4.577,4.931,22.75,1345.0,0.0,1.0,1.0,1.0,0.0,5.0,2,0,0,0,0,0,0,0.0
21,TpMrt,1,BR04,萬芳醫院站,N,1.0,16,5,15,17,2,1,20,0,4,72,14220.75,1200.87,35936.0,12.47,70.08,17.43,26.18,39.3,17.8,24.86,44.37,37.07,5.56,0.36,47.73,45.99,4.48,0.74,27.352,30.464,20.14,1859.0,6.0,0.0,0.0,1.0,0.0,7.0,3,3,0,0,0,0,3,0.0
22,TpMrt,1,BR05,辛亥站,N,1.0,5,3,1,23,3,1,27,0,4,83,16696.07,1223.96,40707.0,12.55,69.25,18.17,25.98,38.77,18.12,26.24,45.59,36.01,5.36,0.34,47.41,46.26,4.67,0.76,6.065,6.4929999999999986,23.23,1413.0,5.0,0.0,0.0,1.0,0.0,5.0,2,2,0,0,0,0,3,1.0
23,TpMrt,1,BR06,麟光站,N,1.0,15,8,14,11,3,1,15,1,7,90,20598.17,1383.54,43690.0,13.61,66.8,19.59,24.47,37.9,20.37,29.32,48.58,33.05,4.37,0.26,46.99,46.53,4.93,0.76,8.72,8.852,27.06,1507.0,7.0,0.0,1.0,2.0,1.0,6.0,3,3,0,0,0,0,4,1.0
24,TpMrt,1,BR07,六張犁站,N,1.0,44,22,66,38,6,2,46,1,6,116,26704.66,1417.52,54932.0,14.15,66.11,19.74,24.0,37.65,21.4,29.86,49.12,32.26,4.13,0.25,46.86,46.61,5.28,0.75,22.573,24.773000000000003,21.29,2000.0,17.0,6.0,19.0,5.0,1.0,7.0,3,4,1,3,1,0,4,0.0
