,Station_Type,Activated,Station_ID,Station_Name,T_Status,Num_Transfer,Num_Atm,Num_Cstore,Num_Med,Num_Ele,Num_Sec,Num_High,All_School,Num_POI,Num_Park,Num_Village,Income_Gross,Income_Average,Population,Child,Adult,Old_Age,Young_Adult,Middle_Age,Child_Dep,Old_Dep,Higher_Edu,Sec_Edu,Ele_Edu,Uneducated,Male,Married,Immigrant,Birth,Vol_All,Vol_Workday,Weekend,Median_Rent,Num_Cafe,Num_Drink,Num_Bar,Num_Gym,Num_Lodging,Cat_Vol,Cat_Rent,Cat_Cafe,Cat_Drink,Cat_Bar,Cat_Gym,Cat_Lodging,Cat_Cafe_Pre,Potential
63,TpMrt,0,LB06,三峽站(規劃中),N,1.0,16,9,19,34,1,1,36,2,3,25,2886.78,979.9,11528.0,16.21,72.68,11.12,28.24,38.52,22.31,15.3,30.98,46.12,6.18,0.42,49.19,42.94,4.84,0.86,0.0,0.0,0.0,1250.0,11.0,7.0,3.0,6.0,0.0,0.0,2,3,2,0,1,0,1,-2.0
64,TpMrt,0,LB07,台北大學站(規劃中),N,1.0,13,8,12,19,1,1,21,2,4,28,3297.19,955.43,13361.0,15.94,72.95,11.11,28.63,38.43,21.85,15.24,30.89,46.35,6.33,0.43,49.01,42.7,4.95,0.85,0.0,0.0,0.0,950.0,8.0,0.0,1.0,5.0,0.0,0.0,1,3,0,0,1,0,1,-2.0
65,TpMrt,0,LB08,鶯歌車站(規劃中),N,1.0,11,9,20,4,0,0,4,6,2,26,2901.87,933.38,12027.0,16.03,72.64,11.33,28.61,38.2,22.07,15.6,30.19,46.41,6.83,0.46,49.01,42.8,4.97,0.84,0.0,0.0,0.0,725.0,4.0,3.0,1.0,1.0,0.0,0.0,1,2,0,0,0,0,0,-2.0
66,TpMrt,0,LB09,陶瓷老街站(規劃中),N,1.0,19,14,33,9,1,0,10,5,1,26,2544.1,870.37,11448.0,14.97,73.31,11.71,29.34,38.16,20.42,15.98,28.68,47.86,7.85,0.53,49.37,42.53,4.78,0.81,0.0,0.0,0.0,897.0,6.0,5.0,1.0,1.0,1.0,0.0,1,3,1,0,0,0,1,-2.0
67,TpMrt,0,LB10,國華站(規劃中),N,1.0,11,8,2,13,1,0,14,3,1,26,2132.97,796.48,9855.0,13.73,74.56,11.69,31.05,37.73,18.41,15.68,26.88,49.64,9.0,0.63,50.03,42.86,4.59,0.83,0.0,0.0,0.0,500.0,1.0,2.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0.0
68,TpMrt,0,LB11,永吉公園站(規劃中),N,1.0,7,5,2,12,1,0,13,0,4,34,2897.42,803.5,13312.0,13.96,74.51,11.52,31.19,37.5,18.73,15.47,27.0,49.33,8.95,0.63,49.89,42.75,4.53,0.88,0.0,0.0,0.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
69,TpMrt,0,LB12,鶯桃福德站(規劃中),N,1.0,9,6,5,8,1,0,9,0,4,48,4430.83,835.69,19353.0,14.18,73.3,12.5,30.55,37.1,19.35,17.05,28.39,47.81,8.83,0.61,49.52,43.02,4.47,0.91,0.0,0.0,0.0,833.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0
70,TpMrt,0,LB13,豎啣埤站(規劃中),N,1.0,2,2,1,7,1,0,8,0,5,45,4186.42,861.23,17866.0,15.06,72.85,12.11,30.65,36.45,20.67,16.62,28.65,46.65,8.78,0.67,49.57,43.61,4.46,1.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0
71,TpMrt_TyMrt,0,LB14_G04,大湳站(規劃中),M,1.9999999999999998,25,11,33,10,1,0,11,0,11,42,3711.08,870.12,15792.0,15.16,72.8,12.05,31.16,36.01,20.82,16.55,29.04,46.24,8.66,0.7,49.65,43.9,5.12,1.13,0.0,0.0,0.0,872.0,3.0,3.0,0.0,4.0,0.0,0.0,1,1,0,0,1,0,3,2.0
72,TpMrt,0,LG01_R08_G10,中正紀念堂站(規劃中),M,3.0,41,10,40,25,6,1,32,7,3,153,25996.71,1270.61,62268.0,13.68,66.95,19.37,24.47,38.13,20.44,28.94,43.14,36.91,5.75,0.38,47.6,44.78,5.74,0.76,0.0,0.0,0.0,2500.0,25.0,1.0,3.0,12.0,0.0,0.0,4,4,0,0,3,0,4,0.0
73,TpMrt,0,LG02,植物園站(規劃中),N,1.0,21,9,24,31,6,1,38,7,2,142,21411.21,1207.29,55966.0,13.13,67.9,18.99,25.0,38.51,19.34,27.96,41.15,38.85,6.3,0.44,47.91,44.46,5.53,0.74,0.0,0.0,0.0,1636.0,6.0,2.0,0.0,5.0,2.0,0.0,3,3,0,0,1,0,4,1.0
74,TpMrt,0,LG03,廈安站(規劃中),N,1.0,21,11,40,32,6,0,38,9,7,145,20141.1,1147.84,56343.0,12.94,68.82,18.25,25.57,38.78,18.8,26.51,39.18,40.45,6.81,0.47,48.09,44.23,5.36,0.74,0.0,0.0,0.0,1718.0,9.0,2.0,1.0,5.0,4.0,0.0,3,3,0,0,1,0,4,1.0
75,TpMrt,0,LG04,加蚋站(規劃中),N,1.0,27,18,41,29,3,0,32,3,7,171,21064.26,1059.62,65200.0,12.48,70.03,17.5,26.1,39.3,17.82,24.99,36.9,42.63,7.32,0.51,48.07,43.96,4.89,0.71,0.0,0.0,0.0,1333.0,7.0,2.0,1.0,4.0,0.0,0.0,2,3,0,0,1,0,4,1.0
76,TpMrt,0,LG05,永和站(規劃中),N,1.0,26,17,29,30,5,0,35,1,7,201,23176.88,1024.75,74150.0,11.59,70.68,17.74,26.28,39.81,16.39,25.09,36.85,43.94,7.01,0.49,48.12,44.04,4.75,0.69,0.0,0.0,0.0,1720.0,8.0,1.0,3.0,8.0,0.0,0.0,3,3,0,0,2,0,4,1.0
77,TpMrt,0,LG06_Y12,中和站(規劃中),M,1.9999999999999998,46,22,34,17,3,0,20,1,5,192,19357.3,954.83,68167.0,11.43,71.57,17.0,26.86,39.99,15.97,23.75,34.39,46.09,7.43,0.51,48.18,43.74,4.33,0.68,0.0,0.0,0.0,1227.0,3.0,3.0,3.0,5.0,0.0,0.0,2,1,0,0,1,0,4,3.0
78,TpMrt,0,LG07,雙和醫院站(規劃中),N,1.0,38,17,12,24,2,0,26,0,5,157,16508.74,952.39,58753.0,11.66,72.48,15.87,27.43,40.17,16.08,21.9,33.53,46.83,7.4,0.47,48.3,43.88,4.24,0.69,0.0,0.0,0.0,1200.0,7.0,1.0,3.0,5.0,0.0,0.0,2,3,0,0,1,0,3,0.0
79,TpMrt,0,LG08,中和高中站(規劃中),N,1.0,15,11,14,19,3,0,22,0,3,146,15344.25,941.94,55990.0,12.29,73.07,14.64,28.22,39.84,16.81,20.04,32.24,47.33,7.55,0.47,48.48,43.69,4.08,0.71,0.0,0.0,0.0,1092.0,7.0,0.0,1.0,2.0,0.0,0.0,2,3,0,0,0,0,2,-1.0
80,TpMrt,0,LG08A,莒光站(規劃中),N,1.0,9,9,7,31,3,0,34,1,13,147,14438.67,908.61,55226.0,12.5,73.1,14.38,28.87,39.27,17.11,19.68,31.2,47.79,7.89,0.49,48.77,43.54,3.95,0.73,0.0,0.0,0.0,869.0,2.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0,0,0,2,1.0
81,TpMrt,0,LG09,廷寮站(規劃中),N,1.0,39,19,39,30,4,0,34,0,9,113,11389.54,900.64,43602.0,12.45,73.77,13.77,29.39,39.34,16.88,18.67,30.93,48.3,7.74,0.48,48.72,43.52,4.05,0.75,0.0,0.0,0.0,1215.0,3.0,1.0,1.0,3.0,1.0,0.0,2,1,0,0,0,0,3,2.0
82,TpMrt,0,LG10,清水站(規劃中),N,1.0,24,15,32,28,5,0,33,0,6,98,9898.41,885.92,38708.0,12.25,74.36,13.38,29.92,39.42,16.48,17.99,30.59,48.68,7.86,0.47,48.92,43.35,4.02,0.76,0.0,0.0,0.0,1173.0,2.0,2.0,2.0,8.0,0.0,0.0,2,1,0,0,2,0,3,2.0
83,TpMrt,0,LG11_BL03,土城站(規劃中),M,1.9999999999999998,22,10,28,7,2,0,9,0,3,63,7041.97,872.39,28175.0,12.77,75.67,11.55,30.69,39.66,16.88,15.26,29.8,49.34,7.49,0.45,49.03,42.87,3.97,0.76,0.0,0.0,0.0,1500.0,1.0,1.0,1.0,4.0,1.0,0.0,2,0,0,0,1,0,0,0.0
84,TpMrt,0,LG12,埤塘站(規劃中),N,1.0,16,7,6,8,2,0,10,0,2,52,5634.95,857.42,23123.0,12.72,75.75,11.51,30.76,39.57,16.79,15.2,29.65,49.46,7.54,0.47,49.2,42.71,3.81,0.77,0.0,0.0,0.0,872.0,4.0,0.0,0.0,2.0,1.0,0.0,1,2,0,0,0,0,0,-2.0
85,TpMrt,0,LG13,中華中學站(規劃中),N,1.0,25,13,29,9,4,0,13,0,5,69,7250.34,857.22,29661.0,12.65,75.34,12.0,30.45,39.51,16.79,15.93,29.68,49.29,7.76,0.46,49.11,42.89,3.91,0.75,0.0,0.0,0.0,1150.0,1.0,0.0,1.0,3.0,0.0,0.0,2,0,0,0,0,0,3,3.0
86,TpMrt,0,LG14,溪州站(規劃中),N,1.0,19,13,9,35,2,0,37,0,6,65,6683.56,848.06,27752.0,12.84,75.22,11.94,30.48,39.31,17.06,15.87,28.98,49.63,7.97,0.46,49.35,42.71,3.84,0.76,0.0,0.0,0.0,1133.0,6.0,2.0,2.0,5.0,0.0,0.0,2,3,0,0,1,0,2,-1.0
87,TpMrt,0,LG15,彭福站(規劃中),N,1.0,23,17,20,27,3,0,30,0,7,53,5386.16,836.88,22863.0,12.92,75.02,12.05,30.24,39.25,17.23,16.06,28.11,50.16,8.2,0.49,49.57,42.54,3.91,0.75,0.0,0.0,0.0,868.0,2.0,1.0,2.0,7.0,0.0,0.0,1,1,0,0,2,0,3,2.0
88,TpMrt,0,LG16,育林國小站(規劃中),N,1.0,11,6,3,21,4,0,25,0,4,50,4911.72,834.62,20748.0,13.23,75.12,11.65,30.7,38.77,17.61,15.51,28.12,50.04,8.05,0.44,49.52,42.7,3.82,0.77,0.0,0.0,0.0,929.0,4.0,1.0,0.0,3.0,0.0,0.0,1,2,0,0,0,0,0,-2.0
89,TpMrt,0,LG17,樹人家商站(規劃中),N,1.0,13,7,20,19,1,0,20,1,4,65,5980.41,818.0,26026.0,13.13,75.08,11.78,30.91,38.56,17.49,15.69,27.76,50.38,8.17,0.45,49.41,42.54,3.82,0.76,0.0,0.0,0.0,943.0,6.0,2.0,2.0,2.0,0.0,0.0,1,3,0,0,0,0,3,0.0
90,TpMrt,0,LG18,潭底站(規劃中),N,1.0,6,4,2,13,2,0,15,1,2,89,8557.63,818.29,36701.0,13.06,75.26,11.67,31.28,38.54,17.36,15.51,28.42,50.0,7.92,0.45,49.23,42.74,3.89,0.79,0.0,0.0,0.0,1050.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0.0
91,TpMrt,0,LG19,監理所站(規劃中),N,1.0,7,4,0,5,1,0,6,0,1,73,6911.4,809.01,30072.0,13.41,75.31,11.28,31.37,38.38,17.81,14.98,28.0,50.33,7.7,0.43,49.28,42.62,3.88,0.8,0.0,0.0,0.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0
92,TpMrt,0,LG20,三角埔站(規劃中),N,1.0,17,7,5,17,4,1,22,0,2,55,5084.26,800.29,22160.0,13.37,75.38,11.25,31.66,38.24,17.73,14.92,27.91,50.68,7.55,0.41,49.31,42.61,3.89,0.81,0.0,0.0,0.0,789.0,0.0,2.0,0.0,2.0,0.0,0.0,1,0,0,0,0,0,0,0.0
93,TpMrt_TyMrt,0,LG21_BRH8_O21,迴龍站(規劃中),M,3.0,13,10,6,27,4,0,31,0,3,52,4859.31,799.36,21098.0,13.45,75.62,10.93,31.8,38.38,17.78,14.46,28.05,50.72,7.32,0.39,49.24,42.62,4.17,0.83,0.0,0.0,0.0,720.0,1.0,1.0,1.0,3.0,0.0,0.0,1,0,0,0,0,0,0,0.0
94,TpMrt,1,O01,南勢角站,N,1.0,31,18,56,34,2,1,37,2,4,143,15380.95,997.66,50409.0,10.99,71.52,17.49,26.13,40.67,15.37,24.45,36.68,45.26,6.52,0.43,47.86,44.02,4.52,0.63,43.049,45.433,24.31,1333.0,4.0,2.0,2.0,9.0,0.0,7.0,2,2,0,0,2,0,3,1.0
95,TpMrt,1,O02_Y11,景安站,M,1.9999999999999998,27,19,47,40,5,0,45,0,3,151,15791.36,983.89,52873.0,10.95,71.71,17.34,26.31,40.68,15.26,24.18,36.01,45.74,6.75,0.45,47.98,43.91,4.54,0.64,49.73,53.293,23.14,1256.0,7.0,3.0,3.0,11.0,0.0,8.0,2,3,0,0,3,0,4,1.0
96,TpMrt,1,O03,永安市場站,N,1.0,37,18,51,43,8,0,51,1,10,184,21587.21,1044.98,66938.0,11.55,70.42,18.03,25.9,39.93,16.4,25.6,38.33,42.99,6.56,0.44,47.87,44.36,4.88,0.67,53.093,56.24,24.02,1458.0,13.0,5.0,7.0,16.0,2.0,8.0,2,4,1,1,4,0,4,0.0
97,TpMrt,1,O04,頂溪站,N,1.0,39,22,56,32,2,0,34,0,2,184,25879.99,1151.6,71735.0,12.91,68.68,18.4,25.07,39.09,18.79,26.79,40.68,39.75,6.12,0.42,47.78,44.6,5.25,0.69,73.071,76.693,24.72,1643.0,14.0,1.0,3.0,8.0,1.0,8.0,3,4,0,0,2,0,4,0.0
98,TpMrt,1,O07_BL14,忠孝新生站,M,1.9999999999999998,46,17,42,36,6,2,44,5,9,151,33487.55,1398.52,69389.0,14.54,65.79,19.69,23.87,37.61,22.09,29.92,47.46,33.41,4.29,0.23,46.78,45.79,5.96,0.77,68.118,69.092,27.22,2282.0,28.0,4.0,9.0,11.0,7.0,8.0,4,4,1,1,3,1,4,0.0
99,TpMrt,1,O09,行天宮站,N,1.0,63,21,62,26,4,0,30,2,10,109,23119.96,1339.28,50123.0,13.8,66.66,19.55,24.49,37.9,20.7,29.33,44.89,35.93,5.04,0.26,46.97,45.38,5.6,0.79,55.99,61.29600000000001,21.48,1812.0,16.0,5.0,7.0,10.0,12.0,8.0,3,4,1,1,2,1,4,0.0
100,TpMrt,1,O10,中山國小站,N,1.0,61,34,59,16,5,1,22,0,14,129,20038.05,1210.98,49677.0,12.77,68.32,18.93,25.6,38.47,18.69,27.7,40.82,39.51,6.44,0.36,47.37,44.44,5.3,0.8,34.418,37.265,22.35,1756.0,28.0,10.0,18.0,15.0,16.0,7.0,3,4,3,3,4,2,4,0.0
101,TpMrt,1,O12,大橋頭站,N,1.0,27,16,40,25,7,1,33,3,10,165,17987.4,1023.23,56353.0,11.77,70.49,17.76,26.99,39.2,16.7,25.19,35.14,44.44,8.05,0.46,48.13,42.85,4.82,0.79,26.358,27.207,25.96,1666.0,16.0,2.0,4.0,5.0,5.0,7.0,3,4,0,0,1,0,4,0.0
102,TpMrt,1,O13,台北橋站,N,1.0,45,27,58,20,1,0,21,2,7,180,16791.93,942.36,59735.0,11.8,71.56,16.65,27.81,39.23,16.49,23.27,32.25,46.61,8.69,0.52,48.44,42.45,4.6,0.77,19.621,20.068,26.62,1363.0,3.0,0.0,3.0,8.0,2.0,7.0,2,1,0,0,2,0,4,3.0
103,TpMrt,1,O14,菜寮站,N,1.0,43,22,48,32,3,0,35,0,7,166,14082.84,916.55,52419.0,11.71,72.21,16.09,28.26,39.28,16.21,22.29,30.93,47.76,8.91,0.56,48.91,42.33,4.53,0.76,19.413,20.91,22.77,1103.0,6.0,1.0,3.0,10.0,1.0,7.0,2,3,0,0,2,0,3,0.0
104,TpMrt_TyMrt,1,O15_A2,三重站,M,1.9999999999999998,24,9,15,20,4,0,24,2,10,161,12518.62,879.05,49383.0,11.35,72.97,15.67,28.77,39.43,15.56,21.48,29.95,48.83,9.17,0.58,49.0,42.08,4.28,0.75,13.594,13.78,44.9,1080.0,5.0,1.0,2.0,5.0,1.0,6.0,2,2,0,0,1,0,3,1.0
105,TpMrt,1,O16,先嗇宮站,N,1.0,25,11,5,10,3,0,13,0,3,139,13978.12,922.59,52148.0,12.56,73.16,14.27,28.66,39.41,17.17,19.5,31.05,47.38,8.34,0.54,48.78,42.95,3.81,0.74,315.115,302.844,39.88,1201.0,2.0,0.0,0.0,2.0,0.0,9.0,2,1,0,0,0,0,2,1.0
106,TpMrt,1,O17_Y18,頭前庄站,M,1.9999999999999998,15,8,5,16,5,0,21,2,2,120,12123.8,929.31,45404.0,13.06,72.66,14.27,28.45,39.08,17.98,19.65,31.27,46.82,8.2,0.52,48.68,43.34,3.68,0.74,7.856,8.251,33.85,978.0,0.0,0.0,0.0,3.0,3.0,6.0,1,0,0,0,0,0,0,0.0
107,TpMrt,1,O18,新莊站,N,1.0,29,15,45,21,3,0,24,1,6,136,13906.88,930.79,51432.0,13.2,72.82,13.97,28.81,38.91,18.13,19.19,31.46,46.85,7.89,0.48,48.75,43.49,3.73,0.76,21.618,23.019,23.64,1297.0,3.0,1.0,2.0,4.0,1.0,7.0,2,1,0,0,1,0,3,2.0
108,TpMrt,1,O19,輔大站,N,1.0,10,8,4,13,0,1,14,0,3,121,11946.8,860.78,48510.0,13.42,73.83,12.75,29.95,38.56,18.17,17.27,29.65,48.75,7.65,0.44,48.94,42.99,3.55,0.78,22.21,24.599,20.81,1132.0,3.0,0.0,4.0,7.0,0.0,7.0,2,1,0,0,2,0,1,0.0
109,TpMrt,1,O20,丹鳳站,N,1.0,21,9,25,25,1,0,26,0,3,66,6456.18,826.87,26869.0,13.56,74.68,11.75,31.1,38.17,18.16,15.74,28.64,49.93,7.38,0.39,49.05,42.99,3.74,0.8,18.396,19.456,24.14,1553.0,3.0,1.0,2.0,5.0,1.0,7.0,3,1,0,0,1,0,3,2.0
110,TpMrt,1,O21,迴龍站,N,1.0,13,10,6,27,4,0,31,0,3,52,4859.31,799.36,21098.0,13.45,75.62,10.93,31.8,38.38,17.78,14.46,28.05,50.72,7.32,0.39,49.24,42.62,4.17,0.83,19.588,21.073,22.88,720.0,1.0,1.0,1.0,3.0,0.0,7.0,1,0,0,0,0,0,0,0.0
111,TpMrt,1,O50,三重國小站,N,1.0,49,25,76,28,3,0,31,0,10,178,15971.97,911.75,60202.0,11.91,72.3,15.79,28.28,39.29,16.48,21.84,30.92,47.5,8.98,0.55,48.81,42.51,4.23,0.77,23.73,24.895,24.75,1228.0,5.0,0.0,3.0,5.0,2.0,7.0,2,2,0,0,1,0,4,2.0
112,TpMrt,1,O51,三和國中站,N,1.0,30,20,45,35,6,0,41,0,13,172,13863.35,860.97,57250.0,11.91,73.73,14.37,29.15,39.52,16.15,19.48,29.19,49.04,9.18,0.56,49.1,42.3,4.0,0.76,24.221,25.954,23.15,1066.0,6.0,0.0,2.0,7.0,3.0,7.0,2,3,0,0,2,0,3,0.0
113,TpMrt,1,O52,徐匯中學站,N,1.0,33,19,45,36,5,0,41,0,11,153,11959.45,839.91,51615.0,12.0,74.37,13.63,29.57,39.57,16.13,18.33,28.43,49.76,9.11,0.57,49.22,42.11,3.87,0.76,24.422,25.719,24.46,1000.0,8.0,0.0,2.0,8.0,1.0,7.0,1,3,0,0,2,0,3,0.0
114,TpMrt,1,O53,三民高中站,N,1.0,39,21,73,41,5,0,46,1,3,106,9364.89,831.77,41077.0,12.41,74.88,12.7,30.15,39.32,16.58,16.96,28.13,49.97,8.81,0.56,49.18,42.36,3.97,0.76,24.23,25.826,23.56,1120.0,5.0,0.0,1.0,9.0,1.0,7.0,2,2,0,0,2,0,3,1.0
115,TpMrt,1,O54,蘆洲站,N,1.0,14,9,5,41,2,0,43,1,7,73,7037.94,838.55,30845.0,12.84,75.47,11.68,30.57,39.33,17.01,15.48,28.07,50.04,8.4,0.52,49.21,42.44,4.51,0.77,26.781,28.58,23.46,1176.0,5.0,0.0,0.0,3.0,0.0,7.0,2,2,0,0,0,0,2,0.0
116,TpMrt,1,R02,象山站,N,1.0,23,10,5,18,4,0,22,11,16,102,21511.05,1299.6,48576.0,12.92,67.32,19.76,25.24,37.81,19.2,29.35,46.36,35.11,5.17,0.3,47.11,46.48,4.75,0.79,25.796,27.992,22.19,1933.0,19.0,3.0,10.0,10.0,0.0,7.0,3,4,0,1,2,0,4,0.0
117,TpMrt,1,R03,台北101/世貿站,N,1.0,41,22,27,24,2,1,27,8,13,117,26371.12,1359.9,56587.0,13.5,66.58,19.93,24.57,37.65,20.27,29.93,47.71,33.79,4.63,0.26,46.96,46.67,4.91,0.77,70.585,69.202,29.6,2266.0,33.0,9.0,20.0,13.0,2.0,8.0,4,4,2,3,3,0,4,0.0
118,TpMrt,1,R04,信義安和站,N,1.0,62,19,89,49,8,0,57,0,11,129,30490.78,1433.51,61793.0,14.15,65.79,20.07,23.85,37.52,21.51,30.5,49.07,32.31,4.14,0.23,46.8,46.64,5.3,0.74,35.938,39.26,21.64,2643.0,37.0,20.0,54.0,18.0,6.0,7.0,5,4,6,9,5,0,4,0.0
119,TpMrt,1,R05_BR09,大安站,M,1.9999999999999998,37,15,76,40,13,0,53,4,11,128,30237.74,1449.76,59833.0,14.51,65.43,20.06,23.56,37.49,22.18,30.66,49.68,31.66,3.85,0.22,46.75,46.65,5.73,0.76,49.25899999999999,55.133,19.76,2830.0,30.0,8.0,12.0,14.0,8.0,8.0,5,4,2,2,4,1,4,0.0
120,TpMrt,1,R06,大安森林公園站,N,1.0,25,9,31,39,8,0,47,4,10,140,29834.38,1427.76,60451.0,14.59,65.47,19.94,23.58,37.5,22.29,30.46,48.77,32.27,4.05,0.24,46.79,46.23,5.92,0.76,18.562,17.189,33.56,2777.0,17.0,3.0,6.0,9.0,6.0,7.0,5,4,0,1,2,0,4,0.0
121,TpMrt,1,R07_O06,東門站,M,1.9999999999999998,48,17,76,35,2,2,39,6,9,158,30305.78,1363.65,65296.0,14.11,65.98,19.92,23.91,37.77,21.38,30.19,46.37,34.42,4.7,0.29,47.04,45.47,5.92,0.76,52.136,53.459,26.45,3555.0,30.0,2.0,5.0,17.0,7.0,8.0,7,4,0,0,4,1,4,0.0
122,TpMrt,1,R08_G10,中正紀念堂站,M,1.9999999999999998,41,10,40,25,6,1,32,7,3,153,25996.71,1270.61,62268.0,13.68,66.95,19.37,24.47,38.13,20.44,28.94,43.14,36.91,5.75,0.38,47.6,44.78,5.74,0.76,61.147,62.63,26.51,2500.0,25.0,1.0,3.0,12.0,0.0,8.0,4,4,0,0,3,0,4,0.0
123,TpMrt,1,R09,台大醫院站,N,1.0,67,22,44,16,4,2,22,9,3,158,25625.07,1249.94,62237.0,13.46,67.41,19.15,24.95,38.21,19.96,28.4,42.04,37.9,6.1,0.39,47.58,44.37,5.85,0.78,45.508,53.109,16.34,3741.0,28.0,1.0,4.0,3.0,60.0,8.0,7,4,0,0,0,9,4,0.0
124,TpMrt_TyMrt_Train_Thsr,1,R10_BL12_A1_1000_Taipei,台北車站,MTH,5.0,69,40,72,12,4,0,16,4,6,168,26011.04,1227.28,64594.0,13.18,67.84,18.99,25.23,38.4,19.42,28.0,41.25,38.77,6.32,0.38,47.65,44.16,5.69,0.78,313.776,301.571,31.01,3300.0,58.0,7.0,19.0,10.0,60.0,9.0,6,4,2,3,2,9,4,0.0
125,TpMrt,1,R11_G14,中山站,M,1.9999999999999998,72,31,82,15,6,0,21,2,12,158,24174.91,1239.99,59085.0,13.22,67.91,18.89,25.29,38.39,19.47,27.81,41.27,38.87,6.18,0.36,47.54,44.22,5.71,0.78,85.426,84.361,29.15,2320.0,54.0,14.0,57.0,18.0,60.0,8.0,4,4,4,9,5,9,4,0.0
126,TpMrt,1,R12,雙連站,N,1.0,56,31,76,19,8,0,27,0,12,152,20407.18,1178.04,52758.0,12.39,68.69,18.91,25.84,38.65,18.04,27.53,39.63,40.66,6.83,0.38,47.57,43.86,5.48,0.79,45.618,48.846,23.19,2132.0,36.0,10.0,32.0,18.0,60.0,8.0,4,4,3,5,5,9,4,0.0
127,TpMrt,1,R13_O11,民權西路站,M,1.9999999999999998,47,20,49,28,9,1,38,0,15,153,18641.88,1116.08,51389.0,11.82,69.48,18.73,26.42,38.88,17.01,26.95,37.96,42.26,7.42,0.42,47.71,43.57,5.12,0.8,47.151,50.512,23.19,2111.0,29.0,6.0,16.0,13.0,18.0,8.0,4,4,1,2,3,2,4,0.0
128,TpMrt,1,R14,圓山站,N,1.0,17,9,11,15,4,1,20,10,11,148,17632.86,1046.96,53065.0,11.91,69.94,18.16,26.83,38.83,17.03,25.96,36.36,43.18,7.97,0.46,48.01,43.54,4.6,0.8,58.504,57.744,29.17,1621.0,18.0,6.0,10.0,4.0,3.0,8.0,3,4,1,1,1,0,4,0.0
129,TpMrt,1,R15,劍潭站,N,1.0,33,14,3,16,2,1,19,2,8,90,13835.14,1104.34,38843.0,12.24,69.35,18.42,26.74,38.35,17.65,26.56,37.93,41.42,7.82,0.45,47.99,44.61,4.27,0.82,69.464,69.711,28.05,1750.0,7.0,4.0,4.0,6.0,2.0,8.0,3,3,1,0,1,0,4,1.0
130,TpMrt,1,R16,士林站,N,1.0,37,16,67,17,7,1,25,4,10,64,12712.71,1183.9,32830.0,13.49,68.31,18.2,26.44,37.44,19.75,26.65,40.23,38.66,7.12,0.37,47.83,45.96,3.87,0.8,59.86,61.081,26.81,3500.0,14.0,5.0,10.0,12.0,4.0,8.0,6,4,1,1,3,0,4,0.0
131,TpMrt,1,R17,芝山站,N,1.0,27,8,23,26,3,0,29,1,12,62,13019.31,1199.49,33310.0,13.68,68.29,18.04,26.42,37.41,20.04,26.41,40.71,38.13,6.99,0.36,47.82,46.22,3.9,0.8,47.423,49.272,25.48,2000.0,8.0,2.0,3.0,10.0,2.0,8.0,3,3,0,0,2,0,3,0.0
132,TpMrt,1,R18,明德站,N,1.0,24,12,35,31,5,1,37,0,13,60,13028.11,1201.63,33125.0,13.53,68.5,17.97,26.49,37.54,19.75,26.24,41.01,38.07,6.92,0.36,47.86,46.25,3.83,0.8,24.345,26.915,20.71,1277.0,10.0,1.0,2.0,8.0,0.0,7.0,2,3,0,0,2,0,3,0.0
133,TpMrt,1,R19,石牌站,N,1.0,30,18,61,25,4,2,31,0,9,59,12788.25,1210.89,32127.0,13.39,68.57,18.04,26.51,37.62,19.53,26.3,41.51,37.93,6.71,0.35,47.76,46.16,3.89,0.79,61.615,66.465,22.64,1482.0,9.0,2.0,1.0,6.0,0.0,8.0,2,3,0,0,1,0,3,0.0
134,TpMrt,1,R20,唭哩岸站,N,1.0,15,8,11,15,0,1,16,0,10,52,11041.07,1194.15,28291.0,13.43,68.87,17.69,26.6,37.75,19.5,25.68,41.17,38.14,6.76,0.39,47.68,46.15,3.9,0.82,14.341,15.130999999999998,24.32,1391.0,3.0,0.0,1.0,4.0,0.0,6.0,2,1,0,0,1,0,3,2.0
135,TpMrt,1,R21,奇岩站,N,1.0,10,6,13,10,3,0,13,0,11,40,8063.36,1166.24,21454.0,13.56,69.12,17.3,26.63,37.93,19.62,25.03,39.96,38.86,7.09,0.41,47.79,45.87,3.92,0.82,16.997,18.653,21.3,1290.0,4.0,0.0,2.0,4.0,0.0,7.0,2,2,0,0,1,0,2,0.0
136,TpMrt,1,R22,北投站,N,1.0,27,11,48,17,5,0,22,1,10,29,5562.42,1112.93,15720.0,13.75,69.39,16.83,26.69,38.12,19.81,24.26,38.67,39.68,7.3,0.44,47.87,45.2,3.64,0.83,37.367,39.064,25.03,1550.0,12.0,0.0,1.0,4.0,2.0,7.0,3,3,0,0,1,0,3,0.0
