,Station_Type,Station_ID,Station_Name,Num_Cafe,Num_Drink,Num_Bar,Num_Gym,Num_Lodging
136,TpMrt,R22,北投站,12,0,1,4,2
137,TpMrt,R22A,新北投站,14,1,0,7,3
138,TpMrt,R23,復興崗站,1,0,0,2,0
139,TpMrt,R24,忠義站,5,2,0,1,0
140,TpMrt,R25,關渡站,5,3,0,2,2
141,TpMrt,R26,竹圍站,4,1,2,2,0
142,TpMrt_TpLr,R27_V01,紅樹林站,1,1,0,1,1
143,TpMrt,R28,淡水站,11,6,7,7,4
144,TpLr,V02,竿蓁林站,1,0,0,3,2
145,TpLr,V03,淡金鄧公站,0,0,0,1,0
146,TpLr,V04,淡江大學站,1,1,1,0,0
147,TpLr,V05,淡金北新站,2,0,2,4,0
148,TpLr,V06,新市一路站,4,5,3,4,0
149,TpLr,V07,淡水行政中心站,1,3,1,2,0
150,TpLr,V08,濱海義山站,1,1,0,2,0
151,TpLr,V09,濱海沙崙站,0,2,0,3,0
152,TpLr,V10,淡海新市鎮站,0,3,2,2,0
153,TpLr,V11,崁頂站,0,2,2,0,0
154,TpLr,V26,淡水魚人碼頭站,0,0,1,0,1
155,TpLr,V27,沙崙站,0,2,0,3,0
156,TpLr,V28,台北海洋大學站,0,0,0,2,0
157,TpMrt,Y01_BR01,動物園站(規劃中),0,1,0,0,0
158,TpMrt,Y02,政大站(規劃中),8,1,0,1,0
159,TpMrt,Y03,文山區公所站(規劃中),8,1,0,4,0
160,TpMrt,Y04,馬明潭站(規劃中),3,0,2,5,0
161,TpMrt,Y05,溝子口站(規劃中),1,0,2,1,1
162,TpMrt,Y06,寶斗厝站(規劃中),7,1,2,1,0
163,TpMrt,Y08,十四張站,2,0,0,2,0
164,TpMrt,Y09,秀朗橋站,1,0,0,3,0
165,TpMrt,Y10,景平站,4,2,3,12,0
166,TpMrt,Y12,中和站,3,3,3,5,0
167,TpMrt,Y13,橋和站,5,2,2,3,0
168,TpMrt,Y14,中原站,3,0,0,3,0
169,TpMrt,Y15,板新站,10,1,4,7,2
170,TpMrt,Y17,新埔民生站,24,4,9,9,0
171,TpMrt,Y19,幸福站,6,1,1,6,0
172,TpMrt_TyMrt,Y20_A3,新北產業園區站,4,1,2,4,0
173,TpMrt,Y21,工商展覽中心站(規劃中),3,0,0,1,0
174,TpMrt,Y22,更寮站(規劃中),0,0,0,0,0
175,TpMrt,Y23,中路站(規劃中),1,1,1,2,0
176,TpMrt,Y24_O52,徐匯中學站(規劃中),8,0,2,8,1
177,TpMrt,Y25,分子尾站(規劃中),4,0,0,5,0
178,TpMrt,Y26,五華國小站(規劃中),1,0,0,2,0
179,TpMrt,Y27,社子站(規劃中),3,0,0,2,0
180,TpMrt,Y28,士林區公所站(規劃中),14,4,7,6,0
181,TpMrt,Y29_R16,士林站(規劃中),14,5,10,12,4
182,TpMrt,Y30,雨農站(規劃中),11,1,6,9,1
183,TpMrt,Y31,故宮博物院站(規劃中),1,0,0,0,0
184,TpMrt,Y32_BR15,劍南路站(規劃中),11,1,2,4,0
185,TyMrt,A4,新莊副都心站,4,0,0,2,0
186,TyMrt,A5,泰山站,2,1,0,4,0
187,TyMrt,A6,泰山貴和站,2,0,0,2,0
188,TyMrt,A7,體育大學站,0,0,0,1,0
189,TyMrt,A8,長庚醫院站,3,0,6,5,2
190,TyMrt,A9,林口站,2,5,4,2,1
191,TyMrt,A10,山鼻站,1,0,0,1,0
192,TyMrt,A11,坑口站,0,0,0,0,0
193,TyMrt,A12,機場第一航廈站,7,9,3,1,1
194,TyMrt,A13,機場第二航廈站,7,0,6,1,1
195,TyMrt,A14,機場第三航廈站,7,0,6,1,1
196,TyMrt,A14a,機場旅館站,0,0,1,0,0
197,TyMrt,A15,大園站,1,1,0,0,0
198,TyMrt,A16,橫山站,0,0,0,0,0
199,TyMrt,A17,領航站,0,0,1,1,3
200,TyMrt_Thsr,A18_Taoyuan,高鐵桃園站,7,4,1,3,4
201,TyMrt,A19,桃園體育園區站,3,2,1,2,0
202,TyMrt,A20,興南站,2,0,0,0,0
203,TyMrt,A21,環北站,14,0,7,4,2
204,TyMrt,A22,老街溪站(規劃中),26,0,26,7,6
205,TyMrt_Train,A23_1100,中壢車站(規劃中),14,0,18,6,6
206,TyMrt,G01,八德站(規劃中),1,3,1,2,0
207,TyMrt,G02,建國路站(規劃中),1,1,1,3,0
208,TyMrt,G03,麻園站(規劃中),1,1,1,0,0
209,TyMrt,G05,忠勇西街站(規劃中),4,3,0,1,0
210,TyMrt,G06,陽明公園站(規劃中),2,1,1,0,0
211,TyMrt,G07_BRH1_1080,桃園車站(規劃中),18,0,15,8,9
212,TyMrt,G08,永和市場站(規劃中),14,0,16,11,8
213,TyMrt,G09,民光路站(規劃中),10,4,6,4,1
214,TyMrt,G10_O14,大興西路站(規劃中),10,7,8,12,2
215,TyMrt,G11,展演中心站(規劃中),15,0,8,14,1
216,TyMrt,G12,南崁轉運站站(規劃中),3,1,0,4,0
217,TyMrt,G13,南竹站(規劃中),3,0,1,2,0
218,TyMrt,G13a,蘆竹工業區站(規劃中),1,0,0,1,0
219,TyMrt,G14,長興站(規劃中),0,0,0,0,0
220,TyMrt,G15,航空城一站(規劃中),0,0,0,0,0
221,TyMrt,G16,航空城二站(規劃中),0,0,0,0,0
222,TyMrt,G17,航空城三站(規劃中),0,0,0,1,0
223,TyMrt,G18_A16,橫山站(規劃中),0,0,0,0,0
224,TyMrt,G31,菓林站(規劃中),3,0,0,0,0
225,TyMrt,G32_A11,坑口站(規劃中),0,0,0,0,0
226,TyMrt,GE01,霄裡站(規劃中),0,0,0,2,0
227,TyMrt,GE02,士校站(規劃中),2,5,0,2,0
228,TyMrt,GE03,富台國小站(規劃中),4,1,1,2,0
229,TyMrt,GE04,榮民服務處站(規劃中),4,0,1,2,0
230,TyMrt,GE05,中壢體育園區站(規劃中),7,4,6,2,0
231,TyMrt,GA1,埔頂新光站(規劃中),0,0,0,0,0
232,TyMrt,GA2,仁善國小站(規劃中),0,0,0,0,0
233,TyMrt,GA3,埔頂轉運站站(規劃中),1,1,0,1,0
234,TyMrt,BRH2,桃園巨蛋站(規劃中),2,2,3,6,0
235,TyMrt,BRH3,大同路口站(規劃中),3,5,0,1,0
236,TyMrt,BRH4,振興路口站(規劃中),1,0,0,0,0
237,TyMrt,BRH5,嶺頂站(規劃中),0,0,0,0,0
238,TyMrt,BRH6,大棟橋站(規劃中),0,0,0,0,0
239,TyMrt,BRH7,龍華街口站(規劃中),0,3,0,0,0
240,TyMrt,O01,山子頂站(規劃中),4,1,1,0,0
241,TyMrt,O02,南勢站(規劃中),1,3,0,0,0
242,TyMrt,O03,平鎮站(規劃中),3,0,0,2,2
243,TyMrt,O04,褒忠祠站(規劃中),5,3,1,2,1
244,TyMrt,O05,中壢高中站(規劃中),7,3,1,2,2
245,TyMrt,O06_A21,環北站(規劃中),14,0,7,4,2
246,TyMrt,O07,新街站(規劃中),8,2,5,6,1
247,TyMrt,O08,忠福站(規劃中),4,0,0,1,0
248,TyMrt,O09,文化站(規劃中),4,0,0,1,0
249,TyMrt,O10,龍山站(規劃中),0,0,0,0,0
250,TyMrt,O11,龍安站(規劃中),1,0,0,2,0
251,TyMrt,O12,中福站(規劃中),3,2,2,1,0
252,TyMrt,O13,埔子站(規劃中),4,0,2,3,1
253,TyMrt,O15,大檜溪站(規劃中),4,0,3,2,2
254,Train,1010,萬華站,14,1,3,4,7
255,Train,950,五堵站,1,0,0,2,0
256,Train,960,汐止站,3,3,3,7,0
257,Train,970,汐科站,7,1,1,5,0
258,Train,1030,浮洲站,0,0,1,0,0
259,Train,1040,樹林站,8,6,2,4,0
260,Train,1050,南樹林站,1,0,0,1,0
261,Train,1060,山佳站,0,0,0,1,0
262,Train,1070,鶯歌站,4,3,1,1,1
263,Train,7290,福隆站,2,2,1,0,1
264,Train,7300,貢寮站,2,2,1,0,1
265,Train,7310,雙溪站,3,0,0,0,1
266,Train,7320,牡丹站,0,0,0,0,0
267,Train,7330,三貂嶺站,1,0,0,0,0
268,Train,7331,大華站,1,0,0,0,0
269,Train,7332,十分站,3,1,1,0,0
270,Train,7333,望古站,0,0,0,0,0
271,Train,7334,嶺腳站,1,0,0,0,0
272,Train,7335,平溪站,1,0,0,1,0
273,Train,7336,青桐站,1,0,0,0,0
274,Train,7350,猴硐站,4,0,0,0,0
275,Train,7360,瑞芳站,3,1,1,0,5
276,Train,7362,八斗子站,3,0,0,0,0
277,Train,7380,四腳亭站,0,0,0,1,0
278,Train,900,基隆站,24,14,19,6,1
279,Train,910,三坑站,16,3,13,6,3
280,Train,920,八堵站,0,0,0,0,0
281,Train,930,七堵站,1,1,0,1,0
282,Train,940,百福站,0,0,0,0,0
283,Train,7361,海科館站,3,1,0,0,1
284,Train,7390,暖暖站,2,0,0,0,0
285,Train,1080,桃園站,18,0,15,8,9
286,Train,1090,內壢站,8,0,1,4,0
287,Train,1100,中壢站,14,0,18,6,6
288,Train,1110,埔心站,3,4,0,1,0
289,Train,1120,楊梅站,3,8,0,2,1
290,Train,1130,富岡站,0,2,0,0,0
291,Train,1140,新富站,0,0,0,0,0
