Station_Name,Num_Village,Income_Gross,Income_Average,Population,Child,Adult,Old_Age,Young_Adult,Middle_Age,Child_Dependency,Old_Dependency,Higher_Edu,Sec_Edu,Ele_Edu,Uneducated,Male,Married,Immigrant,Birth
忠勇西街站(規劃中),65,6495.93,920.76,25297.0,14.78,72.84,12.4,30.02,37.05,20.29,17.02,31.55,45.22,7.72,0.57,49.12,43.35,4.48,0.98
陽明公園站(規劃中),84,8810.43,936.38,33554.0,14.63,72.27,13.12,29.56,37.11,20.24,18.15,32.31,44.81,7.53,0.55,48.96,43.03,4.61,0.94
桃園車站(規劃中),82,9636.34,958.55,35502.0,14.87,72.16,12.98,29.45,37.07,20.6,17.99,32.68,44.47,7.28,0.52,48.72,42.96,4.69,0.94
永和市場站(規劃中),79,10783.22,1014.6,37051.0,15.18,72.28,12.56,28.85,37.55,21.0,17.38,34.05,43.56,6.57,0.48,48.44,43.07,4.6,0.92
民光路站(規劃中),76,10659.92,1034.34,35988.0,15.0,72.68,12.33,28.66,38.03,20.64,16.96,34.5,43.62,6.27,0.46,48.36,42.94,4.53,0.89
大興西路站(規劃中),63,8882.23,1056.78,29163.0,15.38,72.82,11.82,28.71,38.02,21.12,16.23,34.94,43.17,5.93,0.45,48.24,43.14,4.66,0.89
展演中心站(規劃中),53,8169.57,1075.08,26485.0,16.02,72.98,11.01,28.57,38.14,21.95,15.08,34.41,43.22,5.79,0.44,48.25,43.41,4.81,0.93
南崁轉運站站(規劃中),47,7692.81,1109.59,23900.0,16.54,73.38,10.09,28.33,38.5,22.54,13.75,34.2,43.27,5.44,0.43,48.25,43.87,4.67,0.93
南竹站(規劃中),36,4969.94,1123.4,15009.0,17.0,73.69,9.31,28.46,38.46,23.07,12.64,33.86,43.59,5.02,0.46,48.6,44.61,4.65,0.91
蘆竹工業區站(規劃中),26,3148.08,1104.59,9648.0,17.46,73.06,9.47,27.89,38.4,23.9,12.97,32.88,43.92,5.17,0.51,48.97,44.93,4.78,0.95
長興站(規劃中),8,623.07,917.63,2784.0,14.58,73.38,12.03,29.63,37.64,19.87,16.4,27.23,48.49,8.44,1.15,50.65,44.25,4.63,0.97
航空城一站(規劃中),7,548.06,836.73,2787.0,13.6,73.7,12.7,30.64,37.1,18.45,17.23,25.62,49.48,9.62,1.54,51.27,44.67,4.31,1.0
航空城二站(規劃中),4,300.28,811.57,1383.0,13.59,72.96,13.52,29.72,37.17,18.63,18.53,24.73,49.75,9.98,1.81,51.77,44.61,3.83,0.94
航空城三站(規劃中),6,767.0,920.77,3069.0,15.25,72.66,12.15,30.92,35.97,20.99,16.73,29.36,45.36,8.44,1.47,50.9,45.52,7.01,1.11
橫山站(規劃中),6,956.31,982.85,3550.0,15.77,73.38,10.87,32.03,35.83,21.5,14.82,31.8,43.58,7.32,1.41,50.68,45.69,8.45,1.15
菓林站(規劃中),8,554.82,821.96,2805.0,13.51,73.48,12.91,31.23,36.43,18.39,17.56,24.71,50.02,9.91,1.5,50.91,44.56,3.89,1.11
坑口站(規劃中),8,529.36,810.66,2760.0,13.22,74.09,12.57,31.41,36.7,17.85,16.97,24.42,50.29,10.18,1.56,50.98,44.13,3.95,1.09
霄裡站(規劃中),36,3006.92,843.93,13794.0,14.36,73.63,11.99,31.17,36.73,19.5,16.28,28.34,48.19,8.24,0.64,49.38,42.46,5.57,1.07
士校站(規劃中),39,3398.75,868.8,14724.0,14.22,73.81,11.98,30.74,37.14,19.27,16.23,29.88,47.56,7.57,0.58,49.13,42.09,4.33,0.96
富台國小站(規劃中),57,5317.3,900.78,21837.0,14.6,73.04,12.36,30.04,37.15,19.99,16.93,31.46,46.21,7.0,0.54,49.03,42.13,4.15,0.95
榮民服務處站(規劃中),69,6446.16,935.31,25007.0,14.58,72.7,12.7,29.77,37.25,20.06,17.47,32.79,45.35,6.58,0.51,48.87,42.4,4.29,0.96
中壢體育園區站(規劃中),74,7383.26,936.96,28333.0,14.51,72.34,13.15,29.86,36.94,20.05,18.18,33.31,45.01,6.54,0.47,49.05,43.08,4.22,0.97
埔頂新光站(規劃中),24,1955.31,832.05,9205.0,15.12,72.99,11.82,31.58,35.94,20.72,16.19,27.12,47.91,8.85,0.75,50.02,43.11,6.67,1.18
仁善國小站(規劃中),21,1534.63,811.54,7611.0,14.98,72.84,12.14,30.98,36.15,20.56,16.67,26.15,48.69,9.2,0.79,50.24,42.45,5.91,1.08
